16, deaths, total, 12
16, tests, 1M_pop, 3373736
16, tests, total, 51382
16, day, 2024-03-25
16, time, 2024-03-25T09:45:17+00:00
17, continent, North-America
17, country, Saint-Pierre-Miquelon
17, population, 5759
17, cases, new, None
17, cases, active, 1001
17, cases, critical, None
17, cases, recovered, 2449
17, cases, 1M_pop, 599410
17, cases, total, 3452
17, deaths, new, None
17, deaths, 1M_pop, 347
17, deaths, total, 2
17, tests, 1M_pop, 4410488
17, tests, total, 25400
17, day, 2024-03-25
17, time, 2024-03-25T09:45:17+00:00
18, continent, North-America
18, country, Antigua-and-Barbuda
18, population, 99509
18, cases, new, None
18, cases, active, 6
18, cases, critical, None
18, cases, recovered, 8954
18, cases, 1M_pop, 91509
18, cases, total, 9106
18, deaths, new, None
18, deaths, 1M_pop, 1467
18, deaths, total, 146
18, tests, 1M_pop, 189943
18, tests, total, 18901
18, day, 2024-03-25
18, time, 2024-03-25T09:45:17+00:00
19, continent, Oceania
19, country, Tuvalu
19, population, 12066
19, cases, new, None
19, cases, active, None
19, cases, critical, None
19, cases, recovered, None
19, cases, 1M_pop, 243909
19, cases, total, 2943
19, deaths, new, None
19, deaths, 1M_pop, 83
19, deaths, total, 1
19, tests, 1M_pop, None
19, tests, total, None
19, day, 2024-03-25
19, time, 2024-03-25T09:45:17+00:00
20, continent, North-America
20, country, British-Virgin-Islands
20, population, 30596
20, cases, new, None
20, cases, active, None
20, cases, critical, None
20, cases, recovered, None
20, cases, 1M_pop, 241600
20, cases, total, 7392
20, deaths, new, None
20, deaths, 1M_pop, 2092
20, deaths, total, 64
20, tests, 1M_pop, 3508269
20, tests, total, 107339
20, day, 2024-03-25
20, time, 2024-03-25T09:45:17+00:00
21, continent, Oceania
21, country, Cook-Islands
21, population, 17571
21, cases, new, None
21, cases, active, 51
21, cases, critical, None
21, cases, recovered, 7150
21, cases, 1M_pop, 409937
21, cases, total, 7203
21, deaths, new, None
21, deaths, 1M_pop, 114
21, deaths, total, 2
21, tests, 1M_pop, 1120596
21, tests, total, 19690
21, day, 2024-03-25
21, time, 2024-03-25T09:45:17+00:00
22, continent, Africa
22, country, Sierra-Leone
22, population, 8306436
22, cases, new, None
22, cases, active, None
22, cases, critical, None
22, cases, recovered, None
22, cases, 1M_pop, 937
22, cases, total, 7779
22, deaths, new, None
22, deaths, 1M_pop, 15
22, deaths, total, 126
22, tests, 1M_pop, 31296
22, tests, total, 259958
22, day, 2024-03-25
22, time, 2024-03-25T09:45:17+00:00
23, continent, Oceania
23, country, Niue
23, population, 1622
23, cases, new, None
23, cases, active, 3
23, cases, critical, None
23, cases, recovered, 1056
23, cases, 1M_pop, 652898
23, cases, total, 1059
23, deaths, new, None
23, deaths, 1M_pop, None
23, deaths, total, None
23, tests, 1M_pop, None
23, tests, total, None
23, day, 2024-03-25
23, time, 2024-03-25T09:45:17+00:00
24, continent, Oceania
24, country, Palau
24, population, 18233
24, cases, new, +11
24, cases, active, 4
24, cases, critical, None
24, cases, recovered, 6276
24, cases, 1M_pop, 344979
24, cases, total, 6290
24, deaths, new, None
24, deaths, 1M_pop, 548
24, deaths, total, 10
24, tests, 1M_pop, 3917841
24, tests, total, 71434
24, day, 2024-03-25
24, time, 2024-03-25T09:45:17+00:00
25, continent, Africa
25, country, Sao-Tome-and-Principe
25, population, 227679
25, cases, new, +5
25, cases, active, 5
25, cases, critical, None
25, cases, recovered, 6672
25, cases, 1M_pop, 29678
25, cases, total, 6757
25, deaths, new, None
25, deaths, 1M_pop, 351
25, deaths, total, 80
25, tests, 1M_pop, 130008
25, tests, total, 29600
25, day, 2024-03-25
25, time, 2024-03-25T09:45:17+00:00
26, continent, North-America
26, country, Turks-and-Caicos
26, population, 39741
26, cases, new, +3
26, cases, active, 3
26, cases, critical, 4
26, cases, recovered, 6709
26, cases, 1M_pop, 169900
26, cases, total, 6752
26, deaths, new, None
26, deaths, 1M_pop, 1007
26, deaths, total, 40
26, tests, 1M_pop, 15520193
26, tests, total, 616788
26, day, 2024-03-25
26, time, 2024-03-25T09:45:17+00:00
27, continent, Africa
27, country, Djibouti
27, population, 1016097
27, cases, new, None
27, cases, active, 74
27, cases, critical, None
27, cases, recovered, 15427
27, cases, 1M_pop, 15441
27, cases, total, 15690
27, deaths, new, None
27, deaths, 1M_pop, 186
27, deaths, total, 189
27, tests, 1M_pop, 301094
27, tests, total, 305941
27, day, 2024-03-25
27, time, 2024-03-25T09:45:16+00:00
28, continent, North-America
